yfips,year,fips,state,county_name,total_pop,total_pop_15to64,female_pop_15to64,male_pop_15to64,aapi_pop_15to64,black_pop_15to64,latinx_pop_15to64,native_pop_15to64,white_pop_15to64,urbanicity,region,division,commuting_zone,metro_area,land_area,total_jail_pop,female_jail_pop,male_jail_pop,female_adult_jail_pop,female_juvenile_jail_pop,male_adult_jail_pop,male_juvenile_jail_pop,aapi_jail_pop,black_jail_pop,latinx_jail_pop,native_jail_pop,white_jail_pop,other_race_jail_pop,total_jail_pretrial,total_jail_from_prison,total_jail_from_other_jail,total_jail_from_fed,total_jail_from_bia,total_jail_from_bop,total_jail_from_ice,total_jail_from_marshals,total_jail_from_other_fed,jail_rated_capacity,private_jail_flag,regional_jail_flag,total_jail_adm,total_jail_dis,total_jail_pop_dcrp,female_jail_pop_dcrp,male_jail_pop_dcrp,total_jail_adm_dcrp,female_jail_adm_dcrp,male_jail_adm_dcrp,total_prison_pop,female_prison_pop,male_prison_pop,aapi_prison_pop,black_prison_pop,latinx_prison_pop,native_prison_pop,other_race_prison_pop,white_prison_pop,aapi_female_prison_pop,aapi_male_prison_pop,black_female_prison_pop,black_male_prison_pop,latinx_female_prison_pop,latinx_male_prison_pop,native_female_prison_pop,native_male_prison_pop,other_race_female_prison_pop,other_race_male_prison_pop,white_female_prison_pop,white_male_prison_pop,total_prison_adm,female_prison_adm,male_prison_adm,aapi_prison_adm,black_prison_adm,latinx_prison_adm,native_prison_adm,other_race_prison_adm,white_prison_adm,aapi_female_prison_adm,aapi_male_prison_adm,black_female_prison_adm,black_male_prison_adm,latinx_female_prison_adm,latinx_male_prison_adm,native_female_prison_adm,native_male_prison_adm,other_race_female_prison_adm,other_race_male_prison_adm,white_female_prison_adm,white_male_prison_adm,total_jail_pop_rate,female_jail_pop_rate,male_jail_pop_rate,aapi_jail_pop_rate,black_jail_pop_rate,latinx_jail_pop_rate,native_jail_pop_rate,white_jail_pop_rate,total_jail_adm_rate,total_jail_pretrial_rate,total_prison_pop_rate,female_prison_pop_rate,male_prison_pop_rate,aapi_prison_pop_rate,black_prison_pop_rate,latinx_prison_pop_rate,native_prison_pop_rate,white_prison_pop_rate,total_prison_adm_rate,female_prison_adm_rate,male_prison_adm_rate,aapi_prison_adm_rate,black_prison_adm_rate,latinx_prison_adm_rate,native_prison_adm_rate,white_prison_adm_rate
199022071,1990,22071,LA,Orleans Parish,495744,319521,169549,149972,5818,192516,11692,494,109001,urban,South,West South Central,56,35380,169.43,3604,239,3311,239,0,3194,117,0,2840,57.87,0,710,,1671,1565,0,124,0.82,,0,83.73,91,4000,0,0,33176,32844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1127.94,140.96,2207.75,0,1475.2,494.95,0,651.37,10383.04,522.97,,,,,,,,,,,,,,,,
199122071,1991,22071,LA,Orleans Parish,494767,318044,168358,149686,6142,193139,11537,522,106704,urban,South,West South Central,56,35380,169.43,3677,335,4146,335,0,4000,146,0,3864.96,47.94,0,609.76,,2354,1366,20,146,0.73,,7,87.09,66,4517,0,0,68231,67330,,,,,,,4684,214,4470,,4280,0,,7,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1156.13,198.98,2769.8,0,2001.13,415.53,0,571.45,21453.32,740.15,1472.75,127.11,2986.25,,2216.02,0,,372.06,,,,,,,,
199222071,1992,22071,LA,Orleans Parish,496006,319022,168812,150210,6464,195726,11395,533,104904,urban,South,West South Central,56,35380,169.43,4737,421,4316,421,0,4137,179,2,4248,38,12,437,,2685,1456,0,168,0.64,,0,90.45,110,5000,0,0,66962.62,67506.75,,,,,,,4787,254,4533,,4412,0,,9,366,,,,,,,,,,,,,2294,218,2076,,2116,0,0,6,172,,,,,,,,,,,,,1484.85,249.39,2873.31,30.94,2170.38,333.48,2251.41,416.57,20989.97,841.63,1500.52,150.46,3017.78,,2254.17,0,,348.89,719.07,129.14,1382.07,,1081.1,0,0,163.96
199322071,1993,22071,LA,Orleans Parish,496468,319838,169555,150283,6850,198454,11120,565,102849,urban,South,West South Central,56,35380,169.43,5231,450.5,4593.5,450.5,0,4359.5,234,108,4643.58,84,6.5,694.92,,2518,1400,0,190,0.55,,25.43,93.82,98.57,7174,0,0,65694.25,67683.5,,,,,,,4861,236,4625,,4496,0,,7,358,,,,,,,,,,,,,2444,200,2244,,2246,0,0,5,193,,,,,,,,,,,,,1635.52,265.7,3056.57,1576.64,2339.88,755.4,1150.44,675.67,20539.85,787.27,1519.83,139.19,3077.53,,2265.51,0,,348.08,764.14,117.96,1493.18,,1131.75,0,0,187.65
199422071,1994,22071,LA,Orleans Parish,496092,320494,169737,150757,7126,200678,11013,584,101093,urban,South,West South Central,56,35380,169.43,5231,480,4871,480,0,4582,289,214,4565,130,1,441,,2351,1344,0,212,0.45,,50.86,97.18,87.14,7174,0,0,64425.88,67860.25,,,,,,,4962,303,4659,,4606,0,,4,352,,,,,,,,,,,,,2479,254,2225,,2295,,,,181,,,,,,,,,,,,,1632.17,282.79,3231.03,3003.09,2274.79,1180.42,171.23,436.23,20102.05,733.56,1548.23,178.51,3090.4,,2295.22,0,,348.19,773.49,149.64,1475.89,,1143.62,,,179.04
199522071,1995,22071,LA,Orleans Parish,495018,321213,170139,151074,7446,202963,10984,613,99207,urban,South,West South Central,56,35380,169.43,5549,560,4998,555,5,4780,218,135,4881,151,1.01,391,,2184,1288,0,234,0.36,,76.29,100.55,75.71,7174,0,0,63157.5,68037,,,,,,,5213,347,4866,,4839,0,0,8,366,,,,,,,,,,,,,2799,314,2485,,2564,0,0,6,229,,,,,,,,,,,,,1727.51,329.14,3308.31,1813.05,2404.87,1374.73,164.76,394.13,19662.19,679.92,1622.91,203.95,3220.94,,2384.18,0,0,368.93,871.38,184.55,1644.89,,1263.28,0,0,230.83
199622071,1996,22071,LA,Orleans Parish,490610,319808,169536,150272,7686,204242,10733,632,96515,urban,South,West South Central,56,35380,169.43,5433,460,5040,460,0,4781,259,105.84,4680.58,172.28,0.95,409.3,,2867,1232,0,256,0.27,,101.71,103.91,64.29,7174,0,0,61889.12,68213.75,,,,,,,5355,338,5017,,5002,0,0,9,344,,,,,,,,,,,,,2878,285,2593,,2649,0,0,12,217,,,,,,,,,,,,,1698.83,271.33,3353.92,1377.05,2291.68,1605.14,150.32,424.08,19351.96,896.48,1674.44,199.37,3338.61,,2449.06,0,0,356.42,899.91,168.11,1725.54,,1296.99,0,0,224.84
199722071,1997,22071,LA,Orleans Parish,488061,319707,169459,150248,7827,205810,10644,668,94758,urban,South,West South Central,56,35380,169.43,6270,636,5901,636,0,5742,159,99,5659,242,1.13,537,,3550,1176,0,278,0.18,,127.14,107.27,52.86,7174,0,0,60620.75,68390.5,,,,,,,5694,387,5307,,5329,0,,9,356,,,,,,,,,,,,,3242,372,2870,,2984,0,0,5,253,,,,,,,,,,,,,1961.17,375.31,3927.51,1264.85,2749.62,2273.58,169.16,566.71,18961.35,1110.39,1781.01,228.37,3532.16,,2589.28,0,,375.69,1014.05,219.52,1910.18,,1449.88,0,0,267
199822071,1998,22071,LA,Orleans Parish,485801,319570,169256,150314,7882,207324,10514,681,93169,urban,South,West South Central,56,35380,169.43,6398,649,6021,649,0,5859,162,101,5774,247,1.12,548,,3713,1120,0,300,0.09,,152.57,110.64,41.43,7174,0,0,59352.38,68567.25,,,,,,,6008,442,5566,,5597,0,,5,406,,,,,,,,,,,,,3607,434,3173,,3344,0,0,0,263,,,,,,,,,,,,,2002.07,383.44,4005.61,1281.4,2785.01,2349.25,164.46,588.18,18572.58,1161.87,1880.03,261.14,3702.92,,2699.64,0,,435.77,1128.7,256.42,2110.91,,1612.93,0,0,282.28
199922071,1999,22071,LA,Orleans Parish,485513,320446,169694,150752,8168,209211,10419,729,91919,urban,South,West South Central,56,35380,169.43,6935,520,6104,520,0,6064,40,89.5,5853.1,0,0,736.85,,2466,6330,0,322,0,0,178,114,30,7250,0,0,58084,68744,,,,,,,5732,486,5246,0,5317,0,0,6,409,,,,,,,,,,,,,3403,442,2961,0,3135,0,0,6,262,,,,,,,,,,,,,2164.17,306.43,4049.03,1095.74,2797.7,0,0,801.63,18125.99,769.55,1788.76,286.4,3479.89,0,2541.45,0,0,444.96,1061.96,260.47,1964.15,0,1498.49,0,0,285.03
